epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.091,4.65606,7.46356,3.41793,0.00169,0.14313,0.00136,0.00037,2.96449,4.48903,2.40966,5.95985e-05,5.95985e-05,5.95985e-05
2,344.75,2.80161,5.0435,2.10297,0.00844,0.59059,0.01147,0.00498,1.98965,3.58175,1.66862,7.99076e-05,7.99076e-05,7.99076e-05
3,498.252,2.13811,4.17686,1.62534,0.02371,0.5046,0.02622,0.01658,1.4169,3.08838,1.31646,6.08368e-05,6.08368e-05,6.08368e-05
